2021.findings-acl.53,{T}ell{M}e{W}hy: A Dataset for Answering Why-Questions in Narratives,2021,-1,-1,3,0.0,7627,yash lal,Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021,0,0,0.0,0.0
2020.acl-main.168,Learning to Update Natural Language Comments Based on Code Changes,2020,39,0,5,0.0,22674,sheena panthaplackel,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,1,0,0.17873116007051856,-0.27628541369730086
2020.aacl-main.49,Systematic Generalization on g{SCAN} with Language Conditioned Embedding,2020,-1,-1,3,0.0,23238,tong gao,Proceedings of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 10th International Joint Conference on Natural Language Processing,0,0,0.0,0.0
W19-4807,Do Human Rationales Improve Machine Explanations?,2019,24,1,3,0.0,24003,julia strout,Proceedings of the 2019 ACL Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,0,0,-0.031362483355824,-0.032453646393453
W19-4812,Faithful Multimodal Explanation for Visual Question Answering,2019,0,4,2,0.0,21269,jialin wu,Proceedings of the 2019 ACL Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,0,0,-0.2943849466263354,-0.35158901592655745
P19-1348,Generating Question Relevant Captions to Aid Visual Question Answering,2019,0,3,3,0.0,21269,jialin wu,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,1,0,-0.2943849466263354,-0.35158901592655745
N18-1201,Stacking with Auxiliary Features for Visual Question Answering,2018,0,7,2,0.714286,3344,nazneen rajani,"Proceedings of the 2018 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",0,0,-0.2943849466263354,-0.35158901592655745
D18-1165,Learning a Policy for Opportunistic Active Learning,2018,0,3,3,1.0,1450,aishwarya padmakumar,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,0,0,0.0,0.0
W17-2803,Guiding Interaction Behaviors for Multi-modal Grounded Language Learning,2017,15,9,3,1.0,19594,jesse thomason,Proceedings of the First Workshop on Language Grounding for Robotics,0,0,-0.031362483355824,-0.032453646393453
I17-2021,Improving Black-box Speech Recognition using Semantic Parsing,2017,16,1,3,0.0,816,rodolfo corona,Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 2: Short Papers),0,0,0.23185760743802142,-0.3886521694675594
I17-2030,Dialog for Language to Code,2017,14,7,2,0.0,32863,shobhit chaurasia,Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 2: Short Papers),0,0,-0.031362483355824,-0.032453646393453
I17-1059,Leveraging Discourse Information Effectively for Authorship Attribution,2017,20,0,3,0.0,3638,elisa ferracane,Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 1: Long Papers),0,0,0.17354236069231366,-0.18810657238091624
E17-1052,Integrated Learning of Dialog Strategies and Semantic Parsing,2017,13,12,3,1.0,1450,aishwarya padmakumar,"Proceedings of the 15th Conference of the {E}uropean Chapter of the Association for Computational Linguistics: Volume 1, Long Papers",0,0,-0.1932507849475805,0.4606785413427285
W16-6003,Statistical Script Learning with Recurrent Neural Networks,2016,97,13,2,1.0,3456,karl pichotta,Proceedings of the Workshop on Uphill Battles in Language Processing: Scaling Early Achievements to Robust Methods,0,0,0.100656555494188,-0.12770591301844106
